Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
125383928,"2026-02-23 08:59:10",buy,1,EURUSD,1.18241000,1.18147,1.18570000,"2026-02-23 10:25:51",1.18143000,0,-5,-98.00000000,-9.8,5201
124589942,"2026-02-19 15:31:15",buy,0.2,XAUUSD,4978.66000000,4972.07,0,"2026-02-19 16:15:00",4972.18000000,0,-1.4,-129.60000000,-6.5,2625
124386796,"2026-02-19 04:50:49",buy,0.2,XAUUSD,4971.85000000,4972.35,5111.93000000,"2026-02-19 16:15:00",4972.18000000,0,-1.4,6.60000000,0.3,41051
124386443,"2026-02-19 04:46:35",buy,0.2,XAUUSD,4972.19000000,4972.15,5111.27000000,"2026-02-19 16:15:00",4972.18000000,0,-1.4,-0.20000000,0,41305
124580689,"2026-02-19 15:10:12",buy,0.2,XAUUSD,4983.85000000,4974.25,0,"2026-02-19 15:30:39",4974.21000000,0,-1.4,-192.80000000,-9.6,1227
124521881,"2026-02-19 12:36:05",buy,0.1,XAGUSD,78.43200000,78.093,0,"2026-02-19 13:16:54",78.06400000,0,-0.54,-184.00000000,-0.4,2449
124386014,"2026-02-19 04:42:30",buy,1,GBPJPY,209.03400000,208.619,211.57600000,"2026-02-19 12:52:54",208.61900000,0,-5,-268.30000000,-41.5,29424
123942140,"2026-02-18 04:15:06",buy,0.5,NZDCHF,0.46294000,0.45914,0,"2026-02-19 00:05:00",0.45794000,1.13,-2.5,-325.22000000,-50,71394
122993983,"2026-02-13 19:38:43",buy,0.5,NZDCHF,0.46402000,0.45921,0,"2026-02-19 00:05:00",0.45794000,2.08,-2.5,-395.47000000,-60.8,447977
120744469,"2026-02-09 08:40:51",buy,0.6,NZDCHF,0.46603000,0.45919,0,"2026-02-19 00:05:00",0.45794000,5.61,-3,-631.46000000,-80.9,833049
124288121,"2026-02-18 20:25:13",sell,0.2,XAUUSD,4991.96000000,4993.42,4968.77000000,"2026-02-18 21:03:22",4993.54000000,0,-1.4,-31.60000000,-1.6,2289
124279514,"2026-02-18 19:55:24",buy,0.2,XAUUSD,4999.68000000,4992.59,5017.06000000,"2026-02-18 20:20:40",4994.67000000,0,-1.4,-100.20000000,-5,1516
124285785,"2026-02-18 20:19:39",sell,0.2,XAGUSD,77.66700000,0,0,"2026-02-18 20:19:54",77.83200000,0,-1.08,-165.00000000,-0.2,15
124277450,"2026-02-18 19:42:54",buy,0.1,XAGUSD,78.15300000,77.626,79.29400000,"2026-02-18 20:19:44",77.69200000,0,-0.54,-230.50000000,-0.5,2210
124067753,"2026-02-18 13:20:34",sell,0.1,XAGUSD,75.79600000,76.3,0.00000000,"2026-02-18 15:25:28",76.30500000,0,-0.54,-254.50000000,-0.5,7494
124107884,"2026-02-18 14:53:37",sell,0.2,XAUUSD,4932.04000000,4942.87,0,"2026-02-18 14:59:17",4943.49000000,0,-1.38,-229.00000000,-11.5,340
122988734,"2026-02-13 19:16:45",buy,1.5,AUDUSD,0.70783000,0.70426,0,"2026-02-17 15:42:44",0.70424000,-15.42,-7.5,-538.50000000,-35.9,332759
122990994,"2026-02-13 19:26:17",buy,0.5,AUDUSD,0.70726000,0.70426,0,"2026-02-17 15:42:44",0.70426000,-5.14,-2.5,-150.00000000,-30,332187
123009060,"2026-02-13 20:59:06",buy,0.2,XAUUSD,5031.77000000,5026.11,5044.91000000,"2026-02-13 21:07:56",5043.96000000,0,-1.41,243.80000000,12.2,530
122527172,"2026-02-13 18:28:08",sell,0.06,XAUUSD,5028.41000000,5084.99,4827.27000000,"2026-02-13 20:14:33",5028.83000000,0,-0.42,-2.52000000,-0.4,6385
122952394,"2026-02-13 18:15:50",sell,0.2,XAUUSD,5000.12000000,5021.32,0.00000000,"2026-02-13 18:27:00",5022.68000000,0,-1.4,-451.20000000,-22.6,670
122895545,"2026-02-13 16:41:13",buy,0.2,XAUUSD,4974.91000000,4963.67,0,"2026-02-13 16:43:19",4975.47000000,0,-1.4,11.20000000,0.6,126
122513047,"2026-02-12 18:44:34",sell,0.6,AUDUSD,0.71050000,0.70999,0.68982000,"2026-02-13 16:03:15",0.70750000,-2.67,-3,180.00000000,30,76721
122723127,"2026-02-13 10:58:14",sell,1,AUDUSD,0.70755000,0.70998,0.68991000,"2026-02-13 16:03:11",0.70757000,0,-5,-2.00000000,-0.2,18297
122705581,"2026-02-13 08:55:46",buy,1,USDJPY,153.37700000,152.723,0,"2026-02-13 14:08:19",153.30700000,0,-5,-45.66000000,-7,18753
122491378,"2026-02-12 18:39:28",sell,3,EURUSD,1.18717000,1.18907,1.18013000,"2026-02-12 19:35:26",1.18707000,0,-15,30.00000000,1,3358
120748412,"2026-02-11 15:30:49",buy,1,EURUSD,1.18394000,1.17624,1.20827000,"2026-02-12 18:23:46",1.18690000,-36.3,-5,296.00000000,29.6,96777
121924077,"2026-02-12 18:11:43",buy,0.15,XAUUSD,5015.19000000,5005.79,0.00000000,"2026-02-12 18:12:34",5005.64000000,0,-1.06,-143.25000000,-9.6,51
122238885,"2026-02-12 11:16:15",buy,1,GBPUSD,1.36471000,1.36025,1.38636000,"2026-02-12 18:12:12",1.36401000,0,-5,-70.00000000,-7,24957
122254757,"2026-02-12 12:05:02",buy,2,AUDUSD,0.71220000,0.7103,0,"2026-02-12 18:12:08",0.71099000,0,-10,-242.00000000,-12.1,22026
122244581,"2026-02-12 11:36:40",buy,1,EURUSD,1.18842000,1.18502,1.20829000,"2026-02-12 18:11:58",1.18829000,0,-5,-13.00000000,-1.3,23718
122410707,"2026-02-12 17:02:39",buy,1,AUDJPY,109.07500000,108.622,0,"2026-02-12 18:09:58",108.62200000,0,-5,-297.03000000,-45.3,4039
